country,country_name,type,level,2016,2017,2018
BG,Bulgaria,Nuclear,Level 1,14932.0,14718.368,15290.0
BG,Bulgaria,Hydro,Level 1,4535.0,3458.015,4690.0
BG,Bulgaria,Pumped hydro power,Level 2,619.0,603.713,987.0
BG,Bulgaria,Wind,Level 1,1425.0,1504.063,1326.0
BG,Bulgaria,Solar,Level 1,1386.0,1402.766,1043.0
BG,Bulgaria,Geothermal,Level 1,0.0,0.0,0.0
BG,Bulgaria,Other,Level 1,34.0,33.882,22.0
CZ,Czechia,Conventional thermal,Level 1,47817.0,47246.628,48042.91499999999
CZ,Czechia,Nuclear,Level 1,22727.0,26785.6,28255.421
CZ,Czechia,Hydro,Level 1,3169.0,3007.403,2650.153
CZ,Czechia,Pumped hydro power,Level 2,1186.0,1155.492,1037.3170000000002
CZ,Czechia,Wind,Level 1,488.0,581.917,600.67
CZ,Czechia,Solar,Level 1,2110.0,2168.74,2317.645
CZ,Czechia,Geothermal,Level 1,0.0,0.0,0.0
CZ,Czechia,Other,Level 1,87.0,95.478,100.826
DK,Denmark,Conventional thermal,Level 1,15533.149,14104.326,14072.337
DK,Denmark,Nuclear,Level 1,0.0,0.0,0.0
DK,Denmark,Hydro,Level 1,19.272,17.871,14.928999999999998
DK,Denmark,Pumped hydro power,Level 2,0.0,0.0,0.0
DK,Denmark,Wind,Level 1,12781.731,14780.0,13898.806
DK,Denmark,Solar,Level 1,743.78,751.485,952.9729999999998
DK,Denmark,Geothermal,Level 1,0.0,0.0,0.0
DK,Denmark,Other,Level 1,0.0,0.0,0.044
DE,Germany,Conventional thermal,Level 1,390141.0,376128.0,320437.701
DE,Germany,Nuclear,Level 1,80038.0,72155.0,72274.13299999999
DE,Germany,Hydro,Level 1,25690.0,25888.0,20041.878
DE,Germany,Pumped hydro power,Level 2,5451.0,5910.0,6661.0830000000005
DE,Germany,Wind,Level 1,78218.0,103707.0,112174.0
DE,Germany,Solar,Level 1,38098.0,39401.0,46184.0
DE,Germany,Geothermal,Level 1,165.0,157.0,165.25
DE,Germany,Other,Level 1,1805.0,1623.0,522.751
EE,Estonia,Conventional thermal,Level 1,9795.0,10485.0,10170.042999999998
EE,Estonia,Nuclear,Level 1,0.0,0.0,0.0
